Index,Heat_demand
102,18594.541574212064
103,18733.694152528275
104,16847.89950055243
105,18107.18082468533
106,19454.772499823277
107,20161.38480353265
108,18826.34813974357
109,20220.149099167
110,19082.68011675789
111,18081.44405493213
112,21337.774619485157
113,19319.164792595464
114,21607.90898674046
115,22174.287366608914
116,19851.550643785682
117,18305.44904065665
118,17501.100925714098
119,17889.72432498605
120,19843.60061616096
121,19059.414240223006
122,20204.497959762626
123,20315.498684612343
124,19666.14830684946
125,20860.58688826165
126,17883.190887207173
127,19127.247052222563
128,20271.824649371632
129,18029.211663411497
130,19724.92497336349
131,20240.19466411916
132,22911.015237905467
133,20471.30327759645
134,19146.313139567665
135,19008.47129066469
136,19595.50326894224
137,19919.412138895368
138,19045.786225713524
139,23091.656711642627
140,18908.049679837077
141,18323.10423637424
142,18709.88542140559
143,18651.68687378384
144,19491.918309633616
145,15134.66135029277
146,17460.20793780792
147,19029.816221269677
148,17120.785929783662
149,16784.434807039164
150,15786.968727459403
151,13605.855335157526
152,15221.587579019475
153,13449.271191493557
154,14029.973062861714
155,14557.79383300769
156,13839.44834246555
157,16019.417065884352
158,13393.947218742871
159,16276.08478999488
160,17493.937203911195
161,16689.61122572013
162,16367.81455023006
163,14199.21079282371
164,14827.97526647
165,14945.53721299925
166,16171.361133099863
167,14142.934780836675
168,14180.893592323677
169,18753.08109359821
170,16171.030611571308
171,15719.135098107214
172,15902.468530523889
173,14507.262189746394
174,14447.995828296544
175,13765.071358189643
176,13862.288738086085
177,16487.39601290226
178,11690.29250653658
179,14765.12244741567
180,15721.620380051108
181,15875.287196798736
182,17185.48966541391
183,20972.01906418104
184,21368.655063069287
185,24806.913737801337
186,22043.06336675251
187,20355.776612747988
188,26700.17112064128
189,20010.897218221293
190,17193.969019727367
191,19430.30056889378
192,19037.10181657792
193,22789.610947425586
194,21520.84974066725
195,21199.291384383814
196,19021.946317266684
197,21208.6962237328
198,20202.221530417988
199,21407.538810944832
200,20165.46768404332
201,18689.65696527274
202,21387.068400254328
203,24204.646307285762
204,20142.6287579623
205,20015.18278300589
206,22595.25612449037
207,24491.236442180547
208,22017.53971411529
209,22495.850485935498
210,23223.18098498896
211,18638.42899317701
212,15651.32648357062
213,19291.91201762465
214,18913.01013387868
215,17531.317180592436
216,19480.517235503423
217,17151.452623766683
218,16081.550898913845
219,19025.66602029419
220,14877.541513200636
221,16633.69430402413
222,14800.56456624228
223,15623.2078608757
224,15243.99015110588
225,14140.959755389731
226,14260.570859557154
227,12014.458260418283
228,10457.233051216224
229,11912.520035297719
230,12913.31936052017
231,12558.207526421565
232,10820.377984344615
233,10696.64790006348
234,10080.367281001396
235,12704.73110591482
236,10617.365984364627
237,10667.046343913416
238,12151.428460256342
239,11757.83499322379
240,11932.269005326503
241,11710.127681821448
242,12292.98298379198
243,10536.260816516584
244,11502.800252764437
245,13185.273153693923
246,11896.690894509044
247,10559.66314766698
248,11181.258537805259
249,11805.22797962919
250,9773.763934667257
251,11189.225486626121
252,11292.980226693733
253,12249.943757739717
254,12750.052468268874
255,13522.91946282237
256,12714.38634061579
257,13751.419528580132
258,13505.72079885243
259,14799.599161771035
260,12912.030912750808
261,12324.525782858977
262,12708.75664229408
263,12157.524859649182
264,11510.799391507724
265,12876.181365040236
266,12818.30236871949
267,13010.144552739635
268,12364.210586416204
269,10468.621258449017
270,9935.140231239297
271,10875.748843541573
272,10703.830185636607
273,11147.776987832405
274,10388.64790887052
275,10681.303373516326
276,10753.734971630784
277,10514.419357062186
278,10694.321036166744
279,9909.882593796958
280,11131.179637824203
281,10098.554087816188
282,10985.987586999101
283,11483.375972604643
284,11989.858028861303
285,12415.05717730918
286,11079.579762120678
287,15241.865539329661
288,12586.583554492188
289,12477.676606244311
290,11410.963048685951
291,12753.316805348426
292,11358.484084704209
293,12067.613382044276
294,12657.151475481089
295,10373.96062640322
296,11761.152659776046
297,10461.305470997111
298,10259.907524636405
299,10583.929941451344
300,11948.94343225772
301,12097.552735328518
302,10580.896108414809
303,10945.847298717656
304,11033.838093582219
305,13556.627635682506
306,12849.072607938171
307,14657.039173009
308,13823.845036728544
309,13388.39038176224
310,13295.137886130242
311,12883.02932422375
312,12228.00189909517
313,14589.24091261583
314,15163.970988856523
315,13086.088590918534
316,13408.546895063771
317,14522.79845264014
318,15006.535928396761
319,14444.401060462942
320,15024.416287420923
321,14954.552454822422
322,14686.405023604297
323,14538.456582090745
324,14523.371547688965
325,17660.41430201469
326,16424.823664792173
327,17527.2801008215
328,19800.009596216045
329,18089.860939359605
330,21337.463560873726
331,21807.22024109417
332,20186.288564096998
333,21495.82830937844
334,18381.75311612511
335,18361.703213376608
336,21042.647497322097
337,19352.846972191346
338,22041.97928838087
339,20935.628362430816
340,23993.671625317584
341,23649.290986420856
342,19435.192254213132
343,22109.21832556603
344,19172.04007822416
345,17430.268136497274
346,18097.594996565018
347,16855.705959730036
348,16092.746029961518
349,16557.900687697518
350,16754.30161501481
351,17000.29930449988
352,19238.90250242017
353,19130.158968721207
354,20881.070733737557
355,18125.56207584654
356,16972.397714400042
357,18372.124882784967
358,17260.34121101755
359,15888.359133676582
360,17885.679126830146
361,17259.86615531881
362,17284.431133869024
363,15472.901923921265
364,16367.705455775369
365,15238.036027139353
366,11720.749498670215
367,14798.740326762543
368,14696.875629265662
369,12511.138865461062
370,13884.932243067306
371,12388.442714507288
372,12171.676893602606
373,14679.794034873225
374,11029.918750114573
375,12775.774118817972
376,15093.448453880776
377,16043.317424832418
378,23673.10970167246
379,16630.663167063372
380,18357.224424360767
381,19104.320437998973
382,17424.382582681472
383,17027.215245948926
384,19555.34107935117
385,17816.179674324303
386,19722.611466006416
387,21000.572624784792
388,19130.18496461453
389,20220.366977066078
390,18049.68739595214
391,19212.886778849064
392,18693.208772274516
393,17679.153963213234
394,16672.390781615162
395,17184.311583553612
396,19743.062967440226
397,19998.95636680261
398,21135.86315715844
399,23886.103313221498
400,23501.392235762232
401,25146.80647335698
402,25177.916094471715
403,22661.97565020457
404,20755.197070418235
405,20871.48693924504
406,19628.106157733026
407,23214.824407805776
408,22546.48316835599
409,20362.455951487787
410,21020.272862065183
411,19890.08887918069
412,17904.72876770357
413,18583.904210714663
414,21498.64840119044
415,18946.301674702707
416,16081.76379900666
417,15593.69441279925
418,17887.75899749501
419,18845.577868862383
420,18701.74692005344
421,20931.611636182417
422,17354.775045096412
423,20415.888462813848
424,19002.024900827568
425,20915.127376220844
426,20163.627069557162
427,20923.806149574088
428,22226.660632887197
429,20427.948240322406
430,20987.262815100214
431,19271.178923315732
432,18076.02177861348
433,20097.705406205
434,19358.533139285857
435,19133.10599609413
436,19858.059935912068
437,19338.281943309637
438,19318.938077001298
439,17747.690480438378
440,16886.630853132843
441,15499.991971097896
442,17614.206151524504
443,18524.81756609316
444,19895.6912892412
445,17445.037969254558
446,19020.523549700487
447,16433.357794335574
448,17735.11211999082
449,20236.41079740248
450,20434.652266832836
451,17417.761024062682
452,18987.318171966566
453,16035.613923867952
454,19369.861625419493
455,20470.911392790546
456,21463.484636807207
457,20483.164481954344
458,20442.40184198205
459,20209.30102302516
460,20607.16976349233
461,17907.001321554282
462,17380.025252999785
463,19375.41908241689
464,16652.444231238747
465,17146.549333435585
466,14998.174404537169
467,15591.053626267749
468,15436.470403988335
469,14958.088130160571
470,15890.001897094842
471,16007.918163371767
472,14978.49273091391
473,15397.366436617398
474,17161.22088566441
475,15534.421987965958
476,18057.5508795445
477,18691.73750711085
478,17637.523285819418
479,17145.408145865713
480,15124.235888132842
481,19762.26352717123
482,16639.069588028608
483,17108.13274566467
484,17631.18663689955
485,18077.14087231653
486,17797.23955958145
487,17742.752546571082
488,18225.18383630785
489,14768.419344121045
490,13459.778126434434
491,13112.78584886194
492,16603.2275439355
493,13451.757091667881
494,15206.058430904612
495,17501.519501260256
496,19388.278770232624
497,20171.01278428268
498,20848.0790712608
499,19568.38682958193
500,19392.634903483082
501,16319.75411131393
502,16794.831135744786
503,18320.687172073314
504,15250.830611236997
505,15797.058203682891
506,17391.53953058617
507,17475.82507067805
508,15078.754091501653
509,17131.39895681046
510,15063.784946364287
511,14910.893373344461
512,15378.90349971212
513,14036.034768624926
514,13904.248920147229
515,13747.278168586643
516,14201.87799971272
517,14809.347165903535
518,14654.669625142336
519,16948.89534279837
520,14976.487658208098
521,15823.097960308758
522,16509.738295154708
523,15772.376086082426
524,17744.711742601994
525,18497.773041153647
526,18319.31982513417
527,16215.156613412018
528,17675.87925072054
529,20095.80399939056
530,19272.492178323584
531,17055.857364385403
532,17711.46568606515
533,17140.35740751629
534,14892.516121640183
535,15904.901211902234
536,14629.952605483977
537,12783.123147977287
538,14265.680974890745
539,14353.283222410328
540,14850.086513083965
541,13895.973782282419
542,13688.659652470971
543,14192.375992802845
544,18238.773220392293
545,18832.14953403178
546,19615.3964750544
547,17203.487468342588
548,15980.579468291655
549,19375.550362171303
550,21426.608035193207
